sigma,kappa,z_direct,z_paper,residual_correction,E_gen,E_acc,R2_acc,slope_acc
0.0,0.0024121961132002774,4.440892098500626e-16,0.05339819647794368,-0.05339819647794367,5.6716274119371364e-05,1.9721522630525278e-31,1.0,0.9999999999999996
0.0416694728193495,0.0024121961132002774,0.001124798925632442,0.05339819647794368,-0.052273397552311626,5.759130518400289e-05,1.2623312882832025e-06,0.9999987348273769,0.9988764648255247
0.0582976890378464,0.0024121961132002774,0.0022016159329123486,0.05339819647794368,-0.051196580545031636,5.842900898227429e-05,4.825840032054412e-06,0.9999951528872839,0.997803220531766
0.0815614001618772,0.0024121961132002774,0.0043093148522781455,0.05339819647794368,-0.04908888162566602,6.0068681627141796e-05,1.8411173510082292e-05,0.999981429805504,0.9957091756607754
0.1141085025179519,0.0024121961132002774,0.008434802009948728,0.05339819647794368,-0.04496339446799528,6.327808140290334e-05,6.996069825473337e-05,0.999928854115053,0.9916357487929442
0.1596435362934769,0.0024121961132002774,0.016509790392648327,0.05339819647794368,-0.036888406085295554,6.955997367749858e-05,0.0002637910079579018,0.9997274268211909,0.9837583557495584
0.2233493396013774,0.0024121961132002774,0.03231530253913406,0.05339819647794368,-0.021082893938809927,8.185578389336836e-05,0.000979922482940321,0.9989557212218042,0.9686962864353074
0.312476963731664,0.0025384091202297248,0.05554684351001882,0.05554684351012196,-1.0284682270262037e-13,0.00010567845394441222,0.002769260091449822,0.9969145481760735,0.9473762402383693
0.4371709942694524,0.0031539915332983158,0.06575185001563444,0.06575185001551696,1.1773289099928486e-13,0.00014414179411819742,0.003806306557563075,0.9956766942195215,0.938304728239815
0.6116242168643903,0.003995950248847518,0.07912094557018201,0.07912094557010195,7.993040134816158e-14,0.0002022588093116988,0.005375794928972318,0.9937398759720802,0.9266801873367619
0.8556930527381014,0.005137301435605021,0.09643378577515627,0.0964337857751561,-1.8345073093158768e-17,0.00028986611916693175,0.007735593040345744,0.9907005249610713,0.912047779787286
1.197157634238341,0.006677304347825922,0.11868356505961342,0.11868356505960652,6.43571863446791e-15,0.0004218149779849005,0.011255548174759574,0.9859142113847406,0.8939078316992268
1.67488376425301,0.00875130929031423,0.14710937773715282,0.1471093777371908,-3.769016967213567e-14,0.0006204026571711303,0.01644640787016792,0.9783588309817877,0.8717564509608069
2.343246656521626,0.011545117885188812,0.18321751846815082,0.1832175184682364,-8.576712599052939e-14,0.0009188822142924414,0.02397755032311652,0.9664313409263728,0.8451531391241123
3.278319970907745,0.015316814406969258,0.22877098634078497,0.2287709863407984,-1.323474281321517e-14,0.0013664413057090396,0.03466250879009915,0.9476638358086644,0.8138212987742713
4.586534585141047,0.020431361861914105,0.28570700242183644,0.28570700242177716,5.978920399185006e-14,0.0020350848868359605,0.04938075786110428,0.9183715087671287,0.7777821837450825
6.41679265214314,0.02741721524472405,0.35592949980136845,0.35592949980136857,8.101863964035452e-17,0.0030287946189043896,0.06890547798882553,0.8733141911711476,0.737501470501594
8.977415775734741,0.0370606620180461,0.4409338215091061,0.4409338215090936,1.2385042291033709e-14,0.0044950595971093,0.09363942846220001,0.8055773650493758,0.6939943979888603
12.55985636118279,0.05056481315458288,0.5412616559275827,0.5412616559276019,-1.9486236842721226e-14,0.0066382644823477005,0.12332802473600402,0.707035819822531,0.6488190996993087
17.571870987632057,0.0698213244485273,0.655846846368672,0.655846846368672,-1.587041921760162e-16,0.009733445972040379,0.15687890113503053,0.5698649141082677,0.603920587337551
24.58393162522664,0.09788531855846247,0.7813639674997421,0.7813639674997429,-7.742127461185574e-16,0.01413778077052755,0.19239838979646587,0.3894703502930619,0.5613675914886522
34.39415726300309,0.13983910158871998,0.9115993037323902,0.9115993037323914,-1.1587340696147464e-15,0.0202963568573432,0.22741245274072502,0.16898670943462146,0.5231221825868548
48.11915652329192,0.20449697369846886,1.0362210442211817,1.0362210442211817,2.7125717331397667e-16,0.02873818585654379,0.2589732892487325,-0.07375405248683609,0.4911058172382666
67.32112104993318,0.30831461510888764,1.1366653641679987,1.136665364167996,2.4643680894577305e-15,0.04005314252212927,0.2830037779237152,-0.29200815009916914,0.4680190060502958
94.18563555298384,0.48613195329683784,1.1760803898839973,1.1760803898839978,-3.3361118952445467e-16,0.054817190944917764,0.2920950159328596,-0.38316508346969513,0.4595418462703522
131.77044300762262,0.8238937826842923,1.092548391818922,1.0925483918189236,-1.329521009277719e-15,0.07340711564958512,0.2726028197923696,-0.19366198846611282,0.4778862003429045
